epoch,total_loss,recon_loss,forecast_loss,kld_loss
1,0.2981018946976751,0.17448701748364073,0.2434174743190568,0.190614039185507
2,0.025604135304769522,0.009697141543391252,0.03176900636985577,0.0022490496793511495
3,0.008475792431522923,0.003300606661666465,0.010337653073672485,0.0006359249850364543
4,0.0036592786267940556,0.0017062016146918459,0.0038981090850567306,0.000402247205737137
5,0.0020476764448547876,0.0010724909122913115,0.0019446272836116853,0.00028718986626093584
