epoch,total_loss,recon_loss,kld_loss
1,0.19989329552858748,0.19655169129611985,0.33416042812368885
2,0.025651592063286932,0.025597602457449,0.0053989730314702115
3,0.009454568568617105,0.009435252344075551,0.0019316181093604575
4,0.0041627787902290304,0.004153400926440153,0.0009377867550468973
5,0.004110307415436593,0.00409756427986287,0.001274312208081165
