epoch,total_loss,recon_loss,forecast_loss,kld_loss
1,0.9115993055430326,0.5759972767396406,0.6644476001912897,0.3378224860538136
2,0.4620516869154843,0.29979680343107745,0.3160559182817286,0.42269255085424945
3,0.41858563098040497,0.27221089601516724,0.2831657176667994,0.4791877269744873
4,0.39017185297879303,0.2528736035932194,0.264248944141648,0.5173779292540117
5,0.3628039007837122,0.23653049089691855,0.24174830994822763,0.5399255752563477
6,0.35844537344845856,0.23415746201168408,0.23756086419929157,0.5507477738640525
7,0.35069833289493213,0.22860547629269687,0.2329393747177991,0.5623172738335349
8,0.35685488852587616,0.2327496368776668,0.23681744120337747,0.5696528608148749
9,0.35055613788691437,0.22853112085299057,0.23250691050832922,0.5771559531038458
10,0.34288331866264343,0.2232587757435712,0.2275737009265206,0.5837692672556097
11,0.3396101919087497,0.22020875459367578,0.2270322252403606,0.5885322690010071
12,0.3389653671871532,0.2191817503083836,0.22777875580570914,0.589424268765883
13,0.33083041418682446,0.2111511772329157,0.22760195488279517,0.5878266583789479
14,0.24928682229735635,0.1254642748019912,0.23626160486177963,0.5691747448661111
15,0.19325365667993372,0.07175891914150932,0.2312823385000229,0.585356739434329
16,0.16594963588497855,0.04654409837993709,0.22660068761218677,0.6105195229703729
17,0.1523967683315277,0.0338380734690211,0.22453659366477619,0.6290399703112516
18,0.14389267699284988,0.02688001925972375,0.22101789035580374,0.6503709392114119
19,0.14625986326824536,0.028373017568479885,0.22247961163520813,0.6647042036056519
20,0.13751222735101526,0.021993222561749546,0.21756566790017215,0.673617270859805
21,0.13524442233822562,0.019803599200465462,0.21734506704590537,0.6768290075388822
22,0.13493460687724027,0.020401164889335632,0.21549918841231952,0.6783848784186624
23,0.1316641013730656,0.017388091676614502,0.214987038211389,0.678249104456468
24,0.12800490856170654,0.015402124686674639,0.21170435981317,0.6750604131005027
25,0.1255557042631236,0.013745446181432768,0.21018400381911884,0.6718257936564359
26,0.12408328733660957,0.012568871575323019,0.20966900478709827,0.667991502718492
27,0.12352753227407282,0.012014598500999537,0.20978270335630936,0.6621580774133856
28,0.12246703898364847,0.011180887845429506,0.20940008624033493,0.6586108424446799
29,0.12211161648685281,0.011551275341348215,0.208090677857399,0.6515002738345753
30,0.12290464883500879,0.011503767984157259,0.20994661071083762,0.6427574970505454
31,0.12180624563585628,0.011139058338647539,0.20859895782037216,0.6367708932269703
32,0.12011455405842174,0.010268402539870956,0.20712872526862405,0.628178975798867
33,0.12064743380654942,0.010440702550113201,0.20803127911957828,0.6191092512824319
34,0.12133583291010423,0.01036147756332701,0.20977603847330267,0.6086335344748064
35,0.1228639307347211,0.01177151170982556,0.21022267910567197,0.5981079665097323
36,0.11991596086458726,0.010232653892175718,0.20756714723326944,0.5899734930558638
37,0.12036792527545583,0.010832508856599981,0.20749448375268417,0.5788174271583557
38,0.1203264214775779,0.010290132750841703,0.20868383889848535,0.5694370378147472
39,0.11882012337446213,0.009497614323415539,0.20736559277231043,0.5639712756330316
40,0.11798708818175575,0.008881916461343115,0.20707742057063364,0.5566462495110251
41,0.11959558115764098,0.010096565989608114,0.20807623050429605,0.5460900664329529
42,0.11891238526864485,0.010132600807330826,0.20684930682182312,0.5355131246826865
43,0.11788193407383832,0.009004345883361319,0.20726218819618225,0.5246494304050099
