epoch,train_loss,train_recon_loss,train_forecast_loss,val_recon_loss,val_forecast_loss,val_kld_loss
1,3.664773464202881,1.7641289035479228,1.9006446202596028,0.9393196105957031,1.0122816562652588,0.3753592222929001
2,2.1265719334284463,1.024015595515569,1.1025563379128773,0.6532524824142456,0.6775225400924683,0.5019621253013611
3,1.6025909384091694,0.7808651427427927,0.8217257956663767,0.5105381309986115,0.5160290151834488,0.539341002702713
4,1.3135070999463399,0.6410011947154999,0.6725059151649475,0.4232957810163498,0.44213686883449554,0.5390000939369202
5,1.1273273626963298,0.5439838419357935,0.58334352572759,0.38018961250782013,0.39183570444583893,0.5203118324279785
6,1.0027708411216736,0.48429430027802783,0.518476535876592,0.3567420244216919,0.3743814677000046,0.5013890713453293
7,0.936996579170227,0.44404322405656177,0.4929533501466115,0.3363604098558426,0.35636889934539795,0.5134180784225464
8,0.8703767855962118,0.4130785216887792,0.4572982539733251,0.30979107320308685,0.34558267891407013,0.5530589818954468
9,0.8376497526963552,0.39264000952243805,0.4450097431739171,0.31515322625637054,0.3376602381467819,0.5904214382171631
10,0.8011086483796438,0.37771399319171906,0.4233946402867635,0.3153975158929825,0.33069777488708496,0.6198157668113708
11,0.7756292223930359,0.36953123410542804,0.4060979833205541,0.3221151530742645,0.34608907997608185,0.6163893640041351
12,0.7623794575532278,0.3599126587311427,0.4024667988220851,0.31216153502464294,0.33830711245536804,0.6289330422878265
13,0.7536599636077881,0.3523535132408142,0.4013064702351888,0.3050830364227295,0.32576023042201996,0.6483903229236603
14,0.7271172404289246,0.3442203650871913,0.38289687037467957,0.3093165308237076,0.33252954483032227,0.6581947505474091
15,0.7278571228186289,0.3400076627731323,0.38784945011138916,0.31348663568496704,0.32126110792160034,0.6851222813129425
16,0.7007561524709066,0.33300569156805676,0.36775044600168866,0.3177685886621475,0.31606172025203705,0.7108467817306519
17,0.6900485853354136,0.3269798507293065,0.36306874454021454,0.29664430022239685,0.311415895819664,0.7292201519012451
18,0.6815853714942932,0.3236515124638875,0.3579338490962982,0.3051958978176117,0.2958773225545883,0.7466042041778564
19,0.6641989648342133,0.3143860846757889,0.3498128702243169,0.304595947265625,0.3113418519496918,0.7734031081199646
20,0.6689995328585306,0.30219606558481854,0.36680347224076587,0.2907060831785202,0.29829034209251404,0.7752276062965393
21,0.6395141383012136,0.2946901222070058,0.34482403596242267,0.2631605267524719,0.32227762043476105,0.7505274415016174
22,0.6105072597662607,0.2809152454137802,0.3295920193195343,0.25276514142751694,0.2860369235277176,0.79828941822052
23,0.5906718770662943,0.26772938668727875,0.32294250031312305,0.2363864853978157,0.29270710051059723,0.8081814348697662
24,0.5744404296080271,0.25211644917726517,0.3223239680131276,0.2179991453886032,0.29636403918266296,0.8380876183509827
25,0.5505557060241699,0.23798091461261114,0.3125747988621394,0.20392392575740814,0.2824612408876419,0.8727110326290131
26,0.5395289013783137,0.2255752608180046,0.3139536380767822,0.18860627710819244,0.2684573382139206,0.9033178985118866
27,0.5169538458188375,0.21373492976029715,0.3032189259926478,0.18281199783086777,0.27779047191143036,0.9362308084964752
28,0.49748048683007556,0.20075960457324982,0.2967208872238795,0.16756559163331985,0.2699474096298218,0.9760613441467285
29,0.4749199797709783,0.18956229339043298,0.28535768141349155,0.16126514971256256,0.2526143044233322,0.981982409954071
30,0.461421400308609,0.1804319148262342,0.28098948299884796,0.15101880580186844,0.25726915895938873,1.031910240650177
